ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
54472,Jeon Byeong-Gwan,M,26,155,56,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Bantamweight,NA
54495,Jeon Sang-Gyun,M,27,183,158,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Super-Heavyweight,NA
54495,Jeon Sang-Gyun,M,31,183,158,South Korea,KOR,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,NA
54496,Jeon Sang-Seok,M,22,NA,108.5,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,NA
54496,Jeon Sang-Seok,M,26,NA,108.5,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Heavyweight II,NA
54512,Jeong Dae-Jin,M,20,NA,99,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight I,NA
54618,Brje Hilbert Jeppsson,M,23,NA,90,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
54738,Ji Hun-Min,M,24,157,62,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Featherweight,NA
54738,Ji Hun-Min,M,28,157,62,South Korea,KOR,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Featherweight,NA
54744,Ji Ju-Hyeon,M,20,160,62,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,NA
54815,Adrian Ioan Jigu,M,30,157,56,Romania,ROU,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Bantamweight,NA
54815,Adrian Ioan Jigu,M,34,157,56,Romania,ROU,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Bantamweight,NA
54843,Iriner Tahima Jimnez Smith,F,20,158,61,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Light-Heavyweight,NA
54864,Soraya Jimnez Mendvil,F,23,153,58,Mexico,MEX,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Lightweight,Gold
54888,Jin O-Hyeon,M,24,163,67,South Korea,KOR,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Lightweight,NA
55107,Erling Johansen,M,27,174,80,Denmark,DEN,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Middleweight,NA
55107,Erling Johansen,M,31,174,80,Denmark,DEN,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Light-Heavyweight,NA
55107,Erling Johansen,M,35,174,80,Denmark,DEN,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,NA
55157,Bo Valdemar Johansson,M,23,175,90,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
55242,Folke Klas-Ove Johansson,M,24,184,126,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Heavyweight,NA
55242,Folke Klas-Ove Johansson,M,28,184,126,Sweden,SWE,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Super-Heavyweight,NA
55549,Jaroslav Joke,M,22,178,99,Czechoslovakia,TCH,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight I,NA
55549,Jaroslav Joke,M,26,178,99,Slovakia,SVK,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Heavyweight I,NA
55603,Theunis Johannes Jonck,M,26,NA,89,South Africa,RSA,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
55670,Richard Hugh Jones,M,26,NA,121,New Zealand,NZL,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Heavyweight,NA
55763,Jong Chun-Mi,F,27,164,58,North Korea,PRK,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Lightweight,NA
55844,Stefan Jonsson,M,24,175,82,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,NA
55911,Maria Elisabete Jorge,F,43,154,48,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Flyweight,NA
55948,douard Joseph,M,26,152,53,Haiti,HAI,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Featherweight,NA
55980,Sunil Lal Joshi,M,30,NA,116,Nepal,NEP,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,NA
56013,Ahed Joughili,M,23,170,105,Syria,SYR,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Heavyweight,NA
56013,Ahed Joughili,M,27,170,105,Syria,SYR,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Heavyweight,NA
56061,Mohammed Jowad,M,31,NA,110,Iraq,IRQ,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,NA
56162,Abdul Khalik Juad,M,33,180,123,Iraq,IRQ,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Heavyweight,NA
56164,Julio Nilo Juaneda,M,NA,173,NA,Argentina,ARG,1932 Summer,1932,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middleweight,NA
56201,Jue Chin-Shen,M,21,167,73,Chinese Taipei,TPE,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,NA
56227,Edgar Juillerat,M,NA,NA,59,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Featherweight,NA
56269,Abdallah Juma,M,24,NA,60,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Featherweight,NA
56273,Suleman Juma,M,28,180,89,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
56307,Tanumafili Malietoa Jungblut,M,26,188,94,American Samoa,ASA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
56321,Gustar Junianto,M,24,162,62,Indonesia,INA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Featherweight,NA
56330,Oswald Junkes,M,31,NA,60,Germany,GER,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Featherweight,NA
56437,Pablo Justiniani,M,24,174,83,Panama,PAN,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Light-Heavyweight,NA
56498,Robert Kabbas,M,21,173,83,Australia,AUS,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Middleweight,NA
56498,Robert Kabbas,M,25,173,83,Australia,AUS,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,NA
56498,Robert Kabbas,M,29,173,83,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
56499,Samsudeen Kabeer,M,25,NA,70,India,IND,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Lightweight,NA
56545,Jerzy Kaczkowski,M,26,173,62,Poland,POL,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Light-Heavyweight,NA
